"manuscript","place_label","former_owner_name","current_owner_name","begin","end","collection_label","con_label","note","year","century"
"http://ldf.fi/mmm/manifestation_singleton/bibale_10665","Basel","Vischer-Passavant, Pierre (19e s.)",NA,"1051-01-01",1150-12-01,"Bibliothèque de Bâle (Universitätsbibliothek Basel)",NA,"BASEL, Universitätsbibliothek, AN. IV. 16",1150,12
"http://ldf.fi/mmm/manifestation_singleton/bibale_10738","Cluny","Pontida, Saint-Jacques, prieuré O.S.B. (CL)",NA,"1100-01-01",1100-12-01,"Bibliothèque de Saint-Nicolas de Figina",NA,"Milano, Biblioteca Ambrosiana, A 190 inf.",1100,11
"http://ldf.fi/mmm/manifestation_singleton/bibale_10741","Saint-Amand-les-Eaux","Abbaye de Saint-Amand (Saint-Amand-les-Eaux, Nord)",NA,"0728-12-01",828-12-01,"Bibliotheque nationale de France, Archives et Manuscrits (Online Catalogue)","Parchment","PARIS, Bibliothèque nationale de France, Manuscrits, lat. 02109",828,9
"http://ldf.fi/mmm/manifestation_singleton/bibale_10793","Paris","Coislin, Henri-Charles Du Cambout, duc de (1664-1732)",NA,"1446-01-01",1500-12-01,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)",NA,"SANKT-PETERBURG, Rossijskaja Natsional'naja Biblioteca , fr. f° p. XIV. 0004",1500,15
"http://ldf.fi/mmm/manifestation_singleton/bibale_10823","Paris","Doubrovski (Piotr)",NA,"0830-01-01",830-12-01,"Bibliothèque de l'abbaye de Corbie",NA,"SANKT-PETERBURG, Rossijskaâ Nacional'naâ Biblioteka, lat. f° class. v. 0001",830,9
"http://ldf.fi/mmm/manifestation_singleton/bibale_10824","Paris","Doubrovski (Piotr)",NA,"0701-01-01",800-12-01,"Bibliothèque de l'abbaye de Corbie",NA,"SANKT-PETERBURG, Rossijskaja Natsional'naja Biblioteca , lat. f° v. I. 0002",800,8
"http://ldf.fi/mmm/manifestation_singleton/bibale_10827","Paris","Doubrovski (Piotr)",NA,"0814-01-01",821-12-01,"Bibliothèque de l'abbaye de Corbie",NA,"SANKT-PETERBURG, Rossijskaja Natsional'naja Biblioteca , lat. f° v. I. 0011",821,9
"http://ldf.fi/mmm/manifestation_singleton/bibale_10829","Paris","Doubrovski (Piotr)",NA,"0801-01-01",900-12-01,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)",NA,"SANKT-PETERBURG, Rossijskaâ Nacional'naâ Biblioteka, lat. f° v. II. 0012",900,9
"http://ldf.fi/mmm/manifestation_singleton/bibale_10832","London","Phillipps, Thomas, Sir, 1792-1872",NA,"1201-01-01",1300-12-01,"Bibliothèque de l'abbaye de Longpont","Parchment","BRUXELLES, Bibliothèque royale de Belgique, II 02620",1300,13
"http://ldf.fi/mmm/manifestation_singleton/bibale_10844","Paris","Harlay, Achille III de (1639-1712)",NA,"0451-01-01",550-12-01,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)",NA,"SANKT-PETERBURG, Rossijskaja Natsional'naja Biblioteca , lat. 4° v. I. 0002",550,6
"http://ldf.fi/mmm/manifestation_singleton/bibale_10865","Paris","Doubrovski (Piotr)",NA,"1001-01-01",1100-12-01,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)",NA,"SANKT-PETERBURG, Rossijskaâ Nacional'naâ Biblioteka, lat. 4° v. I. 0036",1100,11
"http://ldf.fi/mmm/manifestation_singleton/bibale_10891","Paris","Doubrovski (Piotr)",NA,"0601-01-01",700-12-01,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)",NA,"SANKT-PETERBURG, Rossijskaâ Nacional'naâ Biblioteka, lat. f° p. I. 0001",700,7
"http://ldf.fi/mmm/manifestation_singleton/bibale_10892","Narbonne","PARIS, Bibliothèque nationale de France, Manuscrits",NA,"0601-01-01",700-12-01,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)","Papyrus","Paris, Bibliothèque nationale de France, Manuscrits, lat. 11641",700,7
"http://ldf.fi/mmm/manifestation_singleton/bibale_10895","Paris","PARIS, Bibliothèque nationale de France, Manuscrits",NA,"0801-01-01",825-12-01,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)","Parchment","PARIS, Bibliothèque nationale de France, Manuscrits, lat. 12599, 5-88 et 98-148",825,9
"http://ldf.fi/mmm/manifestation_singleton/bibale_10901","Paris","Doubrovski (Piotr)",NA,"1430-01-01",1430-12-01,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)",NA,"LOS ANGELES, J. Paul Getty Museum, 027 (87.MR.34)",1430,15
"http://ldf.fi/mmm/manifestation_singleton/bibale_10942","Paris","Fouquet, Nicolas (1615-1680)",NA,"1601-01-01",1700-12-01,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)",NA,"PARIS, Bibliothèque nationale de France, Manuscrits, nouv. acq. fr. 09827",1700,17
"http://ldf.fi/mmm/manifestation_singleton/bibale_11152","Siena","Boccaccio, Giovanni, 1313-1375",NA,"1001-01-01",1100-12-01,"Bibliothèque du couvent des Franciscains de Sienne",NA,"PARIS, Bibliothèque nationale de France, Manuscrits, lat. 01989",1100,11
"http://ldf.fi/mmm/manifestation_singleton/bibale_11158","Anduze","Ranchin (indéterminé)",NA,"1501-01-01",1600-12-01,"Collection de Ranchin (indéterminé)",NA,"DIJON, Bibliothèque municipale, 0234 (0195.1)",1600,16
"http://ldf.fi/mmm/manifestation_singleton/bibale_11166","Montpellier","Ranchin, François (1564-1641)",NA,"1101-01-01",1125-12-01,"Bibliothèque du couvent des Capucins de Montpellier",NA,"LONDON, British Library, Harley MS 04773",1125,12
"http://ldf.fi/mmm/manifestation_singleton/bibale_11167","Montpellier","Ranchin, François (1564-1641)",NA,"1101-01-01",1125-12-01,"Bibliothèque du couvent des Capucins de Montpellier",NA,"LONDON, British Library, Harley MS 04772",1125,12
"http://ldf.fi/mmm/manifestation_singleton/bibale_11178","Paris","Thou, Jacques-Auguste I de (1553-1617)",NA,"0801-01-01",1000-12-01,"Bibliothèque de l'abbaye de Saint-Denis","Parchment","PARIS, Bibliothèque nationale de France, Manuscrits, lat. 02291",1000,10
"http://ldf.fi/mmm/manifestation_singleton/bibale_11181","Dijon","Lanthenas (Dom Hugues)(+1701)",NA,"0951-01-01",1050-12-01,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)","Parchment","PARIS, Bibliothèque nationale de France, Manuscrits, lat. 05288, 32-33",1050,11
"http://ldf.fi/mmm/manifestation_singleton/bibale_11229","Montpellier","Ranchin, François (1564-1641)",NA,"1101-01-01",1200-12-01,"Bibliothèque du couvent des Capucins de Montpellier",NA,"MONTPELLIER, Bibliothèque municipale, 007",1200,12
"http://ldf.fi/mmm/manifestation_singleton/bibale_11270","Paris","Doubrovski (Piotr)",NA,"0300-12-01",400-12-01,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)",NA,"Paris, Saint-Germain-des-Prés, abbaye O.S.B., ms. non identifié ('De consolatione' de Cicéron)",400,4
"http://ldf.fi/mmm/manifestation_singleton/bibale_11271","Paris","PARIS, Bibliothèque nationale de France, Manuscrits",NA,"1201-01-01",1300-12-01,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)","Parchment","PARIS, Bibliothèque nationale de France, Manuscrits, lat. 11558",1300,13
"http://ldf.fi/mmm/manifestation_singleton/bibale_11274","Paris","PARIS, Bibliothèque nationale de France, Manuscrits",NA,"1201-01-01",1300-12-01,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)","Parchment","PARIS, Bibliothèque nationale de France, Manuscrits, lat. 12950",1300,13
"http://ldf.fi/mmm/manifestation_singleton/bibale_11278","New York","Bologna, Biblioteca comunale dell'Archiginnasio",NA,"1501-01-01",1501-12-01,"Biblioteca comunale dell'Archiginnasio de Bologna","Paper","BOLOGNA, Biblioteca Comunale dell'Archiginnasio, B 4603",1501,16
"http://ldf.fi/mmm/manifestation_singleton/bibale_11366","Vatican City","De Gaulle (Charles)(1890-1970)",NA,"1301-01-01",1400-12-01,"Biblioteca Apostolica Vaticana",NA,"VATICANO (CITTA DEL), Biblioteca apostolica Vaticana, Vat. lat. 14430",1400,14
"http://ldf.fi/mmm/manifestation_singleton/bibale_11368","Paris","Daniel Ogerii",NA,"1301-01-01",1400-12-01,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)",NA,"REIMS, Bibliothèque municipale, 0869 (I. 659)",1400,14
"http://ldf.fi/mmm/manifestation_singleton/bibale_11369","Paris","Abbaye de Saint-Germain-des-Prés (Paris) (543-1794)",NA,"1201-01-01",1300-12-01,"Bibliothèque de l'abbaye de Saint-Germain-des-Prés (543-1794)",NA,"ROMA, Biblioteca Casanatense, 1695",1300,13
"http://ldf.fi/mmm/manifestation_singleton/bibale_11381","Reims","Reims, Chapitre cathédral Notre-Dame",NA,"1101-01-01",1200-12-01,"Bibliothèque de la cathédrale de Reims",NA,"REIMS, Bibliothèque municipale, 0111 (E. 308)",1200,12
"http://ldf.fi/mmm/manifestation_singleton/bibale_11383","Reims","Reims, Chapitre cathédral Notre-Dame",NA,"0901-01-01",1000-12-01,"Bibliothèque de la cathédrale de Reims",NA,"REIMS, Bibliothèque municipale, 0129 (E. 349)",1000,10
"http://ldf.fi/mmm/manifestation_singleton/bibale_11392","Reims","Reims, Chapitre cathédral Notre-Dame",NA,"0801-01-01",900-12-01,"Bibliothèque de la cathédrale de Reims",NA,"REIMS, Bibliothèque municipale, 0102 (E. 300)",900,9
"http://ldf.fi/mmm/manifestation_singleton/bibale_11400","Reims","Reims, Chapitre cathédral Notre-Dame",NA,"1301-01-01",1400-12-01,"Bibliothèque de la cathédrale de Reims",NA,"REIMS, Bibliothèque municipale, 0503 (F. 410)",1400,14
"http://ldf.fi/mmm/manifestation_singleton/bibale_11401","Reims","Reims, Chapitre cathédral Notre-Dame",NA,"1376-01-01",1400-12-01,"Bibliothèque de la cathédrale de Reims",NA,"REIMS, Bibliothèque municipale, 0506 (F. 419)",1400,14
